ID,earnings,sex,age,mrd,educ,cworker,region,race,height,weight,occupation
109,38925.33594,0,42,4,14,1,1,1,70,190,2
110,84054.75,1,35,1,12,1,1,1,69,205,12
111,28560.38672,1,35,4,14,1,1,1,72,183,4
112,44152.16016,1,60,1,16,2,3,1,75,240,8
113,18168.8418,0,26,6,14,1,3,1,67,139,5
114,28560.38672,1,34,1,16,1,2,1,75,250,2
115,33712.96875,1,44,1,10,6,4,1,70,238,11
116,84054.75,1,32,1,16,1,1,1,68,170,1
117,19237.19531,1,43,6,18,1,1,3,68,195,2
118,23362.87305,0,56,4,12,1,3,1,64,220,13
119,33712.96875,0,34,1,17,4,4,1,63,205,2
120,16081.58789,0,50,1,10,1,3,1,67,150,8
121,33712.96875,0,28,1,16,1,2,1,69,140,2
122,33712.96875,0,42,1,12,1,3,1,66,215,8
123,84054.75,1,51,1,16,1,3,1,67,146,8
124,12954.76563,1,27,6,12,3,2,1,64,230,13
125,33712.96875,0,47,1,8,6,1,1,61,165,1
126,28560.38672,1,42,4,8,1,3,1,68,160,13
127,23362.87305,1,36,1,11,1,1,1,68,160,10
128,33712.96875,0,44,3,16,4,3,2,64,150,2
129,38925.33594,1,43,6,16,5,3,1,69,180,4
130,84054.75,0,40,1,14,3,4,1,65,120,5
131,38925.33594,1,57,1,16,1,3,1,71,208,4
132,84054.75,1,27,5,18,1,4,1,72,178,2
133,38925.33594,1,37,4,16,1,4,1,74,180,4
134,84054.75,0,45,1,17,1,4,1,66,145,13
135,84054.75,0,40,1,16,1,3,1,64,112,5
136,12954.76563,0,28,6,12,1,3,2,65,130,13
137,84054.75,0,40,1,16,1,3,2,66,135,1
138,84054.75,0,27,6,13,1,2,1,64,185,15
139,84054.75,0,58,1,12,4,4,1,63,105,5
140,38925.33594,0,41,1,10,1,1,1,66,138,4
141,84054.75,1,55,1,15,1,3,2,71,181,13
142,84054.75,0,37,1,16,1,2,4,60,110,2
143,84054.75,0,42,1,18,4,2,1,70,240,2
144,84054.75,1,44,1,16,1,2,1,65,150,1
145,84054.75,1,62,1,18,5,3,1,68,180,2
146,33712.96875,0,38,1,14,1,3,3,59,205,5
147,84054.75,0,39,1,12,1,2,1,60,95,5
148,28560.38672,0,35,4,12,1,4,1,65,210,5
149,38925.33594,1,43,1,16,6,4,1,68,160,10
150,84054.75,0,56,1,10,1,3,1,64,501,1
151,84054.75,1,29,1,12,1,1,1,72,165,14
152,84054.75,1,27,1,16,1,3,1,72,175,2
153,23362.87305,1,46,1,12,1,1,1,67,185,14
154,33712.96875,0,42,5,14,1,4,4,60,115,5
155,44152.16016,1,53,1,13,2,3,2,68,151,1
156,18168.8418,0,60,1,12,4,2,1,63,189,14
157,23362.87305,0,42,3,12,1,1,1,67,134,8
158,38925.33594,1,44,1,7,3,3,1,71,240,11
159,33712.96875,0,35,1,14,1,3,2,61,115,5
160,23362.87305,1,39,4,12,2,4,3,66,165,5
161,33712.96875,1,35,1,13,1,1,1,73,235,13
162,84054.75,1,25,6,12,1,2,1,68,140,13
163,44152.16016,0,42,6,18,4,3,1,68,180,2
164,84054.75,1,34,1,18,1,1,1,71,180,2
165,33712.96875,0,38,6,12,1,4,3,64,140,10
166,38925.33594,1,38,1,12,1,2,1,72,185,11
167,84054.75,1,33,1,18,1,4,1,70,150,3
168,28560.38672,0,27,1,12,1,2,1,64,150,4
169,44152.16016,1,35,1,12,1,4,2,70,180,4
170,38925.33594,0,42,1,14,1,3,1,64,130,4
171,84054.75,1,39,1,12,1,1,1,70,226,11
172,33712.96875,1,34,6,14,4,4,2,68,150,5
173,8826.651367,0,46,6,12,1,3,2,64,152,8
174,23362.87305,1,51,1,15,2,1,2,72,200,13
175,44152.16016,0,25,1,13,1,2,2,67,195,2
176,84054.75,1,57,1,13,1,4,1,66,230,4
177,28560.38672,1,37,1,12,1,1,1,73,195,13
178,23362.87305,0,26,4,16,1,3,1,70,195,3
179,38925.33594,0,40,4,16,1,2,1,70,160,1
180,33712.96875,1,31,6,16,1,2,1,72,175,4
181,28560.38672,0,51,1,11,1,2,1,65,146,11
182,49430.10938,1,30,4,13,2,4,1,71,205,5
183,84054.75,0,46,1,16,1,3,1,61,165,4
184,44152.16016,0,31,6,12,1,3,2,62,195,8
185,84054.75,0,33,6,18,2,3,3,66,138,1
186,84054.75,1,27,6,16,6,1,1,68,165,4
187,12954.76563,0,48,3,12,1,1,1,61,122,5
188,33712.96875,1,26,1,18,1,4,1,70,160,8
189,84054.75,0,57,1,12,3,3,1,66,160,1
190,38925.33594,1,33,1,11,1,4,1,68,175,11
191,33712.96875,0,52,1,14,3,1,1,63,140,2
192,44152.16016,0,32,1,16,3,4,1,61,150,2
193,84054.75,0,27,1,14,1,3,2,67,180,2
194,84054.75,0,38,1,18,1,2,1,64,160,4
195,23362.87305,0,39,5,15,1,1,2,66,140,1
196,14021.39453,0,29,1,12,1,3,4,65,135,13
197,23362.87305,0,31,1,12,1,2,1,68,160,8
198,44152.16016,0,55,1,12,1,2,1,65,160,5
199,19237.19531,0,52,4,16,1,1,1,69,190,2
200,38925.33594,1,55,5,12,1,4,1,71,188,15
201,38925.33594,1,30,2,15,2,2,1,74,350,1
202,16081.58789,1,28,1,15,1,3,2,72,256,11
203,38925.33594,0,33,1,12,4,3,2,64,135,5
204,23362.87305,1,31,1,12,1,3,2,69,180,13
205,44152.16016,0,32,6,13,1,1,1,63,150,2
206,23362.87305,1,59,4,14,1,3,2,74,178,13
207,84054.75,1,30,1,13,1,4,1,71,195,2
208,28560.38672,0,40,1,10,1,3,4,61,115,12
209,33712.96875,1,40,4,16,1,2,1,69,160,3
210,84054.75,0,35,1,16,6,3,2,68,150,4
211,84054.75,0,32,1,15,1,3,3,62,130,1
212,19237.19531,0,62,4,12,1,2,1,65,138,5
213,33712.96875,0,29,1,12,6,2,1,62,120,8
214,38925.33594,0,42,1,12,6,1,1,62,130,8
215,33712.96875,0,60,1,12,1,1,1,64,135,5
216,23362.87305,1,29,2,3,1,4,3,61,140,9
217,84054.75,0,47,1,16,1,3,1,64,115,5
218,33712.96875,1,30,1,8,1,2,1,74,210,13
219,84054.75,0,51,1,12,2,3,1,65,135,5
220,44152.16016,0,48,5,16,4,1,1,67,138,2
221,14021.39453,0,40,6,12,2,3,1,66,160,5
222,23362.87305,1,27,1,16,1,4,1,71,180,4
223,23362.87305,1,47,5,12,1,3,4,68,192,3
224,84054.75,0,54,1,12,6,3,1,65,145,5
225,44152.16016,0,32,1,11,1,1,1,62,135,4
226,38925.33594,0,52,1,17,3,1,1,63,145,2
227,84054.75,0,48,1,18,2,3,1,66,135,4
228,38925.33594,0,40,1,14,6,3,1,62,110,5
229,33712.96875,0,40,4,13,2,3,2,67,130,5
230,49430.10938,0,53,4,12,5,3,1,62,122,4
231,28560.38672,0,41,4,14,1,4,1,64,190,5
232,84054.75,0,39,4,18,1,1,1,66,134,1
233,44152.16016,0,59,3,6,1,4,4,60,110,6
234,84054.75,0,33,1,14,1,3,1,68,175,5
235,38925.33594,1,46,4,14,4,4,1,69,250,2
236,18168.8418,1,47,6,12,1,1,1,70,150,15
237,84054.75,0,34,1,12,1,3,1,63,150,15
238,33712.96875,1,35,5,12,4,1,1,68,180,8
239,84054.75,0,29,1,12,1,2,1,64,117,8
240,44152.16016,0,40,1,14,1,2,1,65,172,5
241,84054.75,0,53,1,18,4,1,1,64,140,1
242,28560.38672,0,57,6,12,1,2,1,61,112,5
243,44152.16016,0,52,1,16,1,2,1,71,160,1
244,14021.39453,0,53,1,11,6,2,1,69,240,8
245,84054.75,1,37,4,16,1,3,1,74,185,2
246,84054.75,0,47,1,18,1,2,2,64,170,2
247,15081.97559,1,28,6,9,1,1,1,66,160,15
248,49430.10938,0,39,1,13,1,1,1,67,200,14
249,19237.19531,1,34,4,14,1,4,3,70,180,5
250,84054.75,1,51,1,14,1,1,1,71,185,1
251,84054.75,0,64,3,15,1,1,1,68,180,2
252,84054.75,1,46,1,18,5,1,1,73,185,1
253,84054.75,1,43,1,14,1,2,1,69,140,1
254,16081.58789,0,48,1,12,1,3,1,68,175,8
255,84054.75,0,32,2,16,1,1,1,63,125,2
256,84054.75,1,28,6,12,1,2,1,71,150,15
257,44152.16016,0,60,1,12,4,1,1,59,130,8
258,33712.96875,0,42,4,14,1,2,1,63,160,5
259,33712.96875,1,27,1,7,1,4,1,69,160,13
260,44152.16016,1,55,6,18,1,1,1,68,178,2
261,38925.33594,0,34,1,12,1,2,1,60,110,1
262,33712.96875,1,40,4,18,1,2,1,70,172,14
263,18168.8418,1,35,1,6,1,3,3,66,165,11
264,19237.19531,0,35,4,12,1,1,1,62,175,2
265,84054.75,0,37,1,18,3,4,3,62,132,2
266,84054.75,0,42,1,16,1,1,1,66,203,1
267,84054.75,0,30,1,12,1,4,1,65,110,1
268,7782.854004,1,46,1,12,1,1,3,60,180,13
269,84054.75,0,31,1,12,1,3,1,63,120,5
270,20305.50977,0,53,1,13,4,3,1,64,189,2
271,28560.38672,0,26,6,16,1,4,1,62,100,4
272,38925.33594,1,33,4,15,1,3,1,76,280,5
273,20305.50977,0,63,4,12,1,1,1,61,170,5
274,84054.75,1,46,1,14,4,4,1,70,165,1
275,49430.10938,1,44,1,12,1,2,1,65,140,13
276,84054.75,0,43,4,16,1,2,1,64,125,2
277,84054.75,1,30,1,17,2,4,1,73,175,1
278,49430.10938,0,56,1,12,1,1,1,64,130,4
279,84054.75,0,48,1,12,1,1,1,61,165,1
280,23362.87305,0,30,5,13,1,4,1,68,220,4
281,19237.19531,1,32,1,12,1,2,2,74,230,13
282,33712.96875,1,25,1,16,5,3,1,72,155,11
283,28560.38672,0,51,3,12,1,3,2,61,165,5
284,19237.19531,1,28,6,13,1,2,1,69,140,12
285,84054.75,1,38,1,16,2,1,1,67,180,2
286,18168.8418,0,25,6,16,1,3,1,63,125,4
287,84054.75,0,39,1,12,1,3,1,69,135,5
288,23362.87305,1,37,1,17,1,4,1,69,150,11
289,84054.75,0,51,1,12,1,1,1,62,170,5
290,44152.16016,1,61,1,14,1,1,1,72,212,2
291,49430.10938,1,51,1,9,4,4,1,69,220,8
292,28560.38672,1,31,6,16,2,3,1,72,180,1
293,28560.38672,0,43,1,12,1,3,1,72,180,8
294,44152.16016,1,38,1,16,1,2,1,68,165,5
295,44152.16016,1,41,1,14,1,4,4,65,130,12
296,33712.96875,0,46,5,14,4,4,2,69,210,8
297,9857.505859,0,25,5,12,1,3,1,66,125,8
298,84054.75,0,46,1,16,1,1,1,65,190,3
299,44152.16016,0,29,6,13,1,2,2,68,160,5
300,84054.75,1,32,1,14,1,1,1,66,150,4
301,84054.75,0,35,2,12,3,3,1,65,175,1
302,38925.33594,1,33,4,18,1,4,1,72,170,2
303,84054.75,1,34,1,12,6,4,3,73,200,8
304,84054.75,1,51,1,17,2,3,3,71,226,2
305,84054.75,0,27,1,14,1,2,1,64,128,1
306,84054.75,1,45,1,16,3,2,1,69,230,2
307,84054.75,0,43,4,12,1,4,1,64,175,3
308,84054.75,0,47,1,12,1,4,1,65,150,5
309,33712.96875,1,26,1,12,1,2,1,71,175,14
310,38925.33594,0,28,1,12,1,4,1,69,145,15
311,18168.8418,1,27,6,15,1,3,1,76,190,11
312,84054.75,0,45,1,17,4,3,1,65,150,2
313,33712.96875,1,38,4,14,1,3,1,69,185,13
314,84054.75,1,38,1,12,4,2,1,71,225,15
315,49430.10938,1,39,1,12,1,3,1,74,220,10
316,23362.87305,0,46,1,12,1,2,1,68,185,8
317,44152.16016,1,43,1,12,1,2,1,72,165,12
318,84054.75,0,47,1,16,2,4,1,63,160,3
319,84054.75,1,33,6,12,1,4,1,70,160,2
320,84054.75,1,26,4,13,6,4,2,71,180,14
321,33712.96875,0,27,1,12,1,3,1,60,135,1
322,8826.651367,1,40,2,2,1,4,3,64,140,9
323,44152.16016,0,43,1,12,1,2,1,66,185,4
324,33712.96875,0,25,6,16,4,3,1,68,130,7
325,33712.96875,1,34,6,12,6,4,1,66,268,12
326,23362.87305,1,36,4,13,1,2,1,70,160,8
327,9857.505859,0,30,1,10,1,3,1,66,145,5
328,38925.33594,0,38,1,13,6,4,1,62,120,8
329,33712.96875,0,63,3,12,1,3,1,66,202,5
330,49430.10938,0,53,4,14,1,3,1,68,140,1
331,17171.26367,0,42,4,12,1,3,2,67,175,5
332,44152.16016,0,48,1,12,4,3,1,65,145,5
333,33712.96875,0,56,2,12,1,3,1,67,150,15
334,33712.96875,0,43,1,16,1,2,1,63,140,3
335,38925.33594,0,44,1,12,1,3,1,65,242,10
336,15081.97559,0,38,6,16,1,3,1,67,150,1
337,33712.96875,1,28,6,12,1,1,4,68,128,8
338,14021.39453,0,44,1,10,1,3,1,61,145,15
339,84054.75,1,33,6,14,1,1,1,70,200,8
340,28560.38672,0,58,1,12,1,1,1,70,175,5
341,6711.287598,0,27,5,12,1,3,3,63,114,5
342,84054.75,0,36,1,16,2,1,3,65,201,5
343,16081.58789,1,45,1,14,1,3,1,68,215,4
344,28560.38672,0,53,4,12,3,4,1,63,125,4
345,44152.16016,1,46,4,12,1,1,2,73,190,5
346,23362.87305,0,51,1,10,1,2,1,64,150,15
347,17171.26367,1,32,4,16,1,2,1,73,157,4
348,28560.38672,0,44,5,12,1,3,2,65,169,13
349,44152.16016,0,47,1,18,1,2,1,67,165,2
350,28560.38672,0,29,6,16,1,1,1,66,130,5
351,38925.33594,0,30,1,17,1,4,1,64,130,2
352,23362.87305,0,27,1,11,1,3,1,64,160,8
353,49430.10938,0,36,2,12,1,2,1,64,125,2
354,84054.75,1,33,1,16,1,2,1,68,195,2
355,49430.10938,1,41,1,13,1,1,1,67,140,13
356,84054.75,0,54,1,16,3,4,4,63,120,1
357,33712.96875,0,41,1,12,4,3,2,62,280,5
358,28560.38672,0,32,4,15,1,3,1,63,135,4
359,84054.75,0,37,1,16,1,2,1,65,125,2
360,84054.75,0,42,1,12,1,2,1,62,140,8
361,44152.16016,0,34,1,13,1,3,2,66,160,14
362,14021.39453,0,40,4,14,1,3,1,66,155,5
363,28560.38672,0,33,4,14,1,4,1,64,145,8
364,20305.50977,0,52,1,12,1,3,1,63,200,8
365,28560.38672,0,38,1,12,1,1,1,66,185,8
366,16081.58789,0,35,4,12,1,2,1,64,195,13
367,38925.33594,0,28,6,16,1,2,1,63,100,1
368,84054.75,1,27,1,16,5,3,1,72,200,4
369,10865.42871,1,56,4,12,1,3,1,74,275,11
370,84054.75,1,36,1,12,1,2,1,75,207,13
371,38925.33594,0,30,6,16,1,4,1,64,125,2
372,84054.75,0,55,1,12,1,4,1,66,135,3
373,49430.10938,0,37,1,13,1,2,1,63,170,5
374,84054.75,1,40,1,17,1,3,4,67,140,2
375,44152.16016,0,48,4,14,1,4,1,65,235,2
376,38925.33594,0,37,6,14,3,4,2,67,180,1
377,19237.19531,0,48,4,12,1,2,1,63,145,13
378,84054.75,0,42,1,14,1,2,1,62,130,1
379,12954.76563,0,26,6,15,1,4,1,64,115,12
380,44152.16016,0,32,1,12,1,2,1,62,210,13
381,44152.16016,0,37,1,16,1,1,4,59,140,5
382,84054.75,1,32,5,18,1,3,1,73,192,2
383,38925.33594,1,36,1,14,4,3,1,70,175,2
384,49430.10938,1,62,1,12,6,3,1,69,200,9
385,33712.96875,0,44,4,16,4,3,1,62,138,2
386,84054.75,1,30,1,16,1,2,1,74,185,5
387,33712.96875,0,60,1,12,1,1,1,65,160,4
388,84054.75,0,46,1,16,1,2,1,64,212,2
389,44152.16016,1,54,1,12,1,1,1,64,200,10
390,84054.75,1,63,3,18,1,3,1,69,160,4
391,49430.10938,0,50,1,14,4,4,3,62,130,3
392,84054.75,1,26,1,12,1,4,1,72,180,4
393,84054.75,0,39,1,12,1,3,1,63,172,1
394,33712.96875,1,36,1,17,1,3,4,65,125,4
395,84054.75,0,59,1,16,1,3,1,70,155,1
396,84054.75,0,40,1,16,1,2,1,68,145,5
397,44152.16016,0,48,1,11,1,2,1,66,170,4
398,23362.87305,1,40,2,17,1,3,1,70,170,4
399,33712.96875,0,48,1,12,1,3,1,67,230,8
400,38925.33594,1,31,6,16,2,2,1,65,140,2
401,23362.87305,0,39,5,14,1,3,2,62,125,5
402,38925.33594,0,32,1,14,6,4,1,63,110,8
403,84054.75,0,40,1,16,1,3,2,67,170,2
404,84054.75,0,38,1,16,1,4,4,60,140,8
405,44152.16016,0,32,1,12,1,1,1,68,160,5
406,84054.75,0,44,6,13,2,3,1,65,501,1
407,84054.75,0,35,1,16,6,2,1,66,155,2
408,84054.75,1,52,1,12,1,3,4,64,130,2
409,84054.75,1,64,1,16,1,3,1,69,190,4
410,23362.87305,0,28,1,13,1,2,3,62,135,5
411,33712.96875,0,38,6,16,1,3,1,63,180,1
412,84054.75,0,34,1,18,4,2,1,65,140,2
413,33712.96875,0,48,4,17,4,3,2,64,165,2
414,19237.19531,0,31,5,12,1,3,2,60,153,8
415,38925.33594,0,59,1,9,1,1,1,63,150,13
416,49430.10938,1,36,1,16,1,1,1,74,155,1
417,23362.87305,0,35,4,14,1,4,1,68,140,5
418,23362.87305,1,26,1,10,1,3,1,69,180,11
419,84054.75,1,57,1,16,1,3,1,73,175,3
420,33712.96875,0,35,1,12,1,3,1,66,193,4
421,8826.651367,0,32,5,12,1,3,3,61,160,4
422,6711.287598,1,41,6,14,6,3,1,72,180,4
423,7782.854004,0,30,4,12,1,3,1,64,115,5
424,38925.33594,1,40,1,12,2,3,1,68,185,10
425,10865.42871,0,25,1,12,1,3,3,64,200,8
426,49430.10938,0,36,1,12,1,2,1,68,150,8
427,84054.75,0,40,1,11,5,3,1,65,175,3
428,84054.75,0,50,6,18,4,3,1,62,200,2
429,44152.16016,0,35,1,13,1,2,1,65,140,3
430,38925.33594,1,53,1,10,1,4,1,70,165,10
431,84054.75,1,48,5,12,1,3,1,73,220,2
432,19237.19531,1,25,1,16,1,3,3,67,125,5
433,84054.75,0,37,1,16,1,1,1,64,134,2
434,38925.33594,0,25,1,12,1,3,1,65,150,4
435,44152.16016,1,32,1,12,6,1,1,72,175,14
436,44152.16016,1,42,1,14,1,3,1,68,215,2
437,15081.97559,1,52,1,8,1,1,1,70,179,8
438,84054.75,0,38,1,12,6,1,1,64,120,8
439,33712.96875,1,30,1,18,1,2,1,69,220,2
440,84054.75,0,51,3,18,1,4,1,66,120,2
441,23362.87305,1,48,1,14,6,1,1,67,230,3
442,84054.75,0,33,1,14,1,2,1,68,163,5
443,84054.75,1,51,1,14,4,3,1,73,185,7
444,23362.87305,0,25,1,18,1,3,1,65,135,8
445,84054.75,1,60,3,13,4,1,2,71,182,13
446,15081.97559,0,38,4,12,1,1,2,64,165,8
447,10865.42871,0,30,5,12,1,4,2,67,150,2
448,14021.39453,0,57,5,9,1,2,2,63,175,6
449,84054.75,0,42,6,18,1,1,1,66,135,1
450,84054.75,1,55,1,14,1,1,1,71,205,3
451,12954.76563,0,30,1,12,1,1,1,62,129,13
452,38925.33594,1,48,1,16,5,3,3,67,170,4
453,28560.38672,1,35,1,17,1,3,1,68,155,4
454,44152.16016,0,39,1,12,1,3,3,67,300,6
455,44152.16016,0,38,1,14,1,4,1,63,120,5
456,23362.87305,0,25,6,12,1,1,1,62,115,14
457,84054.75,0,45,4,18,6,1,1,65,140,4
458,84054.75,1,39,1,14,1,3,1,69,155,10
459,19237.19531,1,34,1,11,1,2,2,71,183,4
460,84054.75,0,27,1,14,4,3,2,61,158,2
461,19237.19531,1,58,1,12,1,4,1,70,180,9
462,6711.287598,0,59,3,4,1,3,1,63,209,13
463,84054.75,1,58,1,16,1,3,1,71,194,1
464,20305.50977,1,38,1,18,6,3,1,74,180,4
465,10865.42871,1,59,6,9,1,3,1,70,179,11
466,7782.854004,1,53,1,6,1,2,3,65,160,15
467,33712.96875,1,46,4,14,2,3,1,73,190,2
468,23362.87305,0,42,5,12,3,2,2,61,150,5
469,33712.96875,1,47,1,8,1,2,1,72,250,10
470,84054.75,1,51,1,18,6,4,1,69,180,2
471,33712.96875,1,59,1,13,1,3,1,70,165,1
472,33712.96875,0,49,4,13,1,4,1,60,170,5
473,84054.75,0,50,4,18,3,4,1,67,162,2
474,18168.8418,0,30,5,12,1,3,1,64,130,4
475,12954.76563,0,39,6,12,1,2,1,65,261,5
476,44152.16016,0,31,1,12,3,1,1,59,108,3
477,28560.38672,0,41,4,16,1,1,1,60,122,2
478,23362.87305,0,25,6,16,1,4,3,63,110,3
479,49430.10938,0,41,1,12,1,2,1,69,160,5
480,16081.58789,1,34,6,11,1,3,2,65,185,11
481,23362.87305,0,38,4,12,1,3,1,62,110,13
482,44152.16016,1,45,1,14,4,3,1,70,190,2
483,84054.75,0,45,1,18,4,3,2,65,175,2
484,84054.75,0,37,1,12,1,3,1,63,130,8
485,84054.75,1,44,1,18,5,2,1,69,210,2
486,28560.38672,1,32,1,7,1,3,4,69,190,13
487,15081.97559,0,47,6,12,1,2,1,63,130,15
488,28560.38672,1,36,4,12,3,1,1,70,165,10
489,38925.33594,1,36,4,12,1,1,1,72,200,13
490,4726.391113,1,44,1,14,6,3,1,75,370,4
491,84054.75,1,58,1,18,4,4,1,69,190,2
492,15081.97559,1,38,6,12,4,3,1,71,185,8
493,84054.75,1,39,1,15,1,3,1,66,150,4
494,28560.38672,1,41,1,18,1,3,3,67,170,8
495,84054.75,1,46,1,12,6,3,1,66,185,4
496,84054.75,0,34,1,16,1,4,1,68,160,4
497,8826.651367,1,25,1,12,1,1,2,67,150,15
498,84054.75,0,30,1,17,4,4,1,66,130,2
499,28560.38672,1,42,1,18,4,4,1,66,130,2
500,84054.75,0,44,4,12,1,3,1,63,200,2
501,44152.16016,1,54,1,12,1,3,1,71,200,14
502,84054.75,0,43,1,17,1,2,1,67,150,5
